1    4
1    5
1    6
1    7
1    8
1   11
1   15
1   17
1   19
1   21
1   23
1   24
1   25
1   30
1   34
1   35
1   37
1   38
1   40
1   42
1   43
1   44
1   49
2    8
2    9
2   10
2   14
2   16
2   19
2   22
2   25
2   27
2   28
2   31
2   32
2   35
2   37
2   40
2   42
2   49
3    5
3    6
3    8
3    9
3   10
3   11
3   15
3   16
3   20
3   21
3   24
3   28
3   29
3   31
3   32
3   36
3   38
3   40
3   41
3   45
3   48
3   49
4    1
4    5
4    6
4   13
4   15
4   16
4   17
4   20
4   21
4   22
4   25
4   26
4   27
4   28
4   29
4   30
4   34
4   35
4   36
4   37
4   42
4   43
5    1
5    3
5    4
5    8
5    9
5   11
5   12
5   13
5   17
5   19
5   21
5   22
5   25
5   29
5   31
5   32
5   33
5   34
5   35
5   38
5   39
5   41
5   42
5   43
5   45
5   47
5   48
5   49
6    1
6    3
6    4
6    7
6   10
6   13
6   14
6   17
6   20
6   26
6   34
6   37
6   38
6   42
6   45
7    1
7    6
7   12
7   15
7   18
7   20
7   22
7   25
7   34
7   38
7   40
7   41
7   42
7   44
7   45
7   46
7   48
8    1
8    2
8    3
8    5
8    9
8   11
8   12
8   17
8   20
8   24
8   26
8   27
8   28
8   33
8   35
8   36
8   40
8   42
8   43
8   46
8   47
8   48
8   50
9    2
9    3
9    5
9    8
9   11
9   15
9   17
9   18
9   21
9   22
9   24
9   26
9   28
9   36
9   38
9   40
9   41
9   43
9   44
9   45
9   46
9   48
9   49
10    2
10    3
10    6
10   11
10   12
10   14
10   15
10   17
10   21
10   22
10   23
10   24
10   25
10   26
10   30
10   31
10   33
10   34
10   38
10   44
10   45
10   47
10   49
11    1
11    3
11    5
11    8
11    9
11   10
11   17
11   18
11   25
11   27
11   29
11   31
11   34
11   35
11   36
11   37
11   38
11   49
12    5
12    7
12    8
12   10
12   13
12   14
12   15
12   17
12   18
12   21
12   22
12   24
12   27
12   30
12   32
12   34
12   42
12   44
12   46
12   48
12   50
13    4
13    5
13    6
13   12
13   19
13   20
13   22
13   26
13   27
13   35
13   37
13   40
13   42
13   45
13   46
14    2
14    6
14   10
14   12
14   17
14   18
14   22
14   26
14   27
14   28
14   33
14   37
14   39
14   42
14   44
14   47
14   49
15    1
15    3
15    4
15    7
15    9
15   10
15   12
15   16
15   18
15   20
15   21
15   22
15   23
15   26
15   30
15   31
15   33
15   36
15   38
15   39
15   40
15   41
15   43
15   48
16    2
16    3
16    4
16   15
16   17
16   20
16   21
16   23
16   25
16   27
16   33
16   34
16   35
16   36
16   38
16   43
16   46
16   47
16   49
17    1
17    4
17    5
17    6
17    8
17    9
17   10
17   11
17   12
17   14
17   16
17   20
17   22
17   24
17   27
17   28
17   31
17   32
17   36
17   40
17   44
17   45
17   48
18    7
18    9
18   11
18   12
18   14
18   15
18   19
18   20
18   21
18   24
18   31
18   39
18   44
18   47
18   50
19    1
19    2
19    5
19   13
19   18
19   23
19   25
19   27
19   29
19   33
19   35
19   36
19   37
19   38
19   39
19   46
20    3
20    4
20    6
20    7
20    8
20   13
20   15
20   16
20   17
20   18
20   21
20   24
